number,value,datetime_start,datetime_complete,duration,params_fast,params_slow,user_attrs_calmar_ratio,user_attrs_max_drawdown,user_attrs_max_drawdown_duration,user_attrs_sharpe_ratio,user_attrs_sortino_ratio,user_attrs_total_return,state
0,-0.406110867911936,2026-04-06 16:05:33.599373,2026-04-06 16:05:40.575805,0 days 00:00:06.976432,10,50,-0.5066109240053651,-0.16377544469007943,6376.0,-0.406110867911936,-0.3656054877273914,-0.08296136207814087,COMPLETE
1,0.3170761924302227,2026-04-06 16:05:40.576629,2026-04-06 16:05:40.843266,0 days 00:00:00.266637,15,60,0.2655974367650112,-0.006713430050858227,8288.0,0.3170761924302227,0.2904001205309443,0.0017828660852845478,COMPLETE
2,-0.49755287658117814,2026-04-06 16:05:40.843669,2026-04-06 16:05:40.955585,0 days 00:00:00.111916,15,50,-0.5050855501961812,-0.13563076264458562,4349.0,-0.49755287658117814,-0.4241454593300976,-0.06849759231988453,COMPLETE
3,0.4072165807397124,2026-04-06 16:05:40.955938,2026-04-06 16:05:41.063993,0 days 00:00:00.108055,20,50,0.3189367564585032,-0.1490193359271339,6376.0,0.4072165807397124,0.3819643312348193,0.047522191186961174,COMPLETE
4,-0.49755287658117814,2026-04-06 16:05:41.064569,2026-04-06 16:05:41.173724,0 days 00:00:00.109155,15,50,-0.5050855501961812,-0.13563076264458562,4349.0,-0.49755287658117814,-0.4241454593300976,-0.06849759231988453,COMPLETE
5,-0.2087440729521268,2026-04-06 16:05:41.174312,2026-04-06 16:05:41.286636,0 days 00:00:00.112324,5,30,-0.2746901442612476,-0.09267637172686094,6376.0,-0.2087440729521268,-0.18691930046923264,-0.02545441714061317,COMPLETE
6,0.2324505860939387,2026-04-06 16:05:41.287163,2026-04-06 16:05:41.394290,0 days 00:00:00.107127,10,60,0.19539842004803631,-0.1158579454988723,6376.0,0.2324505860939387,0.20683410573117184,0.022635846170791445,COMPLETE
7,-0.8663080900605259,2026-04-06 16:05:41.394726,2026-04-06 16:05:41.505694,0 days 00:00:00.110968,25,40,-0.6505183228257322,-0.08492958078244106,5430.0,-0.8663080900605259,-0.7881253879472913,-0.055242119073467516,COMPLETE
8,0.2324505860939387,2026-04-06 16:05:41.506163,2026-04-06 16:05:41.632867,0 days 00:00:00.126704,10,60,0.19539842004803631,-0.1158579454988723,6376.0,0.2324505860939387,0.20683410573117184,0.022635846170791445,COMPLETE
9,-0.5586773816948,2026-04-06 16:05:41.633376,2026-04-06 16:05:41.872418,0 days 00:00:00.239042,5,50,-0.46432312203307385,-0.18779075790264965,7199.0,-0.5586773816948,-0.5011353863711873,-0.0871860842732181,COMPLETE
10,0.4072165807397124,2026-04-06 16:05:41.872924,2026-04-06 16:05:41.987129,0 days 00:00:00.114205,20,50,0.3189367564585032,-0.1490193359271339,6376.0,0.4072165807397124,0.3819643312348193,0.047522191186961174,COMPLETE
11,0.4072165807397124,2026-04-06 16:05:41.987659,2026-04-06 16:05:42.096170,0 days 00:00:00.108511,20,50,0.3189367564585032,-0.1490193359271339,6376.0,0.4072165807397124,0.3819643312348193,0.047522191186961174,COMPLETE
12,-1.04228142612133,2026-04-06 16:05:42.096687,2026-04-06 16:05:42.207080,0 days 00:00:00.110393,20,30,-0.8553679044184536,-0.0760667907673449,7919.0,-1.04228142612133,-0.9764029224809269,-0.06505791091941523,COMPLETE
13,0.4072165807397124,2026-04-06 16:05:42.207736,2026-04-06 16:05:42.319775,0 days 00:00:00.112039,20,50,0.3189367564585032,-0.1490193359271339,6376.0,0.4072165807397124,0.3819643312348193,0.047522191186961174,COMPLETE
14,-0.14958129872035358,2026-04-06 16:05:42.320399,2026-04-06 16:05:42.438127,0 days 00:00:00.117728,25,50,-0.1152475326409708,-0.04679978950986219,7636.0,-0.14958129872035358,-0.1365944691760485,-0.005392946229125984,COMPLETE
15,-1.4122225485802984,2026-04-06 16:05:42.438712,2026-04-06 16:05:42.546942,0 days 00:00:00.108230,20,40,-0.7423866310208589,-0.2049563237404044,4349.0,-1.4122225485802984,-1.2063458482207323,-0.152140859119793,COMPLETE
16,0.07056216848600924,2026-04-06 16:05:42.547380,2026-04-06 16:05:42.657600,0 days 00:00:00.110220,20,60,0.025777229299852104,-0.09231993568290342,7919.0,0.07056216848600924,0.06648171520339875,0.002379480166893896,COMPLETE
17,-1.1950111345228867,2026-04-06 16:05:42.658009,2026-04-06 16:05:42.767291,0 days 00:00:00.109282,25,30,-0.7257600287916474,-0.03533733207081369,7199.0,-1.1950111345228867,-1.1165902793643478,-0.02564353333027217,COMPLETE
18,-1.9884673472020535,2026-04-06 16:05:42.767699,2026-04-06 16:05:42.994190,0 days 00:00:00.226491,5,40,-0.8386453141116905,-0.21262703146475903,7636.0,-1.9884673472020535,-1.6873797355988793,-0.17830024096780278,COMPLETE
19,0.4072165807397124,2026-04-06 16:05:42.994505,2026-04-06 16:05:43.102317,0 days 00:00:00.107812,20,50,0.3189367564585032,-0.1490193359271339,6376.0,0.4072165807397124,0.3819643312348193,0.047522191186961174,COMPLETE
20,-2.3425709174499127,2026-04-06 16:05:43.102705,2026-04-06 16:05:43.210528,0 days 00:00:00.107823,10,40,-0.8977806581895688,-0.3323484387243826,4680.0,-2.3425709174499127,-1.9079804707978958,-0.29834761754944283,COMPLETE
21,0.4072165807397124,2026-04-06 16:05:43.210906,2026-04-06 16:05:43.327327,0 days 00:00:00.116421,20,50,0.3189367564585032,-0.1490193359271339,6376.0,0.4072165807397124,0.3819643312348193,0.047522191186961174,COMPLETE
22,0.4072165807397124,2026-04-06 16:05:43.327994,2026-04-06 16:05:43.437059,0 days 00:00:00.109065,20,50,0.3189367564585032,-0.1490193359271339,6376.0,0.4072165807397124,0.3819643312348193,0.047522191186961174,COMPLETE
23,0.4072165807397124,2026-04-06 16:05:43.437620,2026-04-06 16:05:43.544709,0 days 00:00:00.107089,20,50,0.3189367564585032,-0.1490193359271339,6376.0,0.4072165807397124,0.3819643312348193,0.047522191186961174,COMPLETE
24,-1.0755574282883016,2026-04-06 16:05:43.545081,2026-04-06 16:05:43.655977,0 days 00:00:00.110896,10,30,-0.8317568648018738,-0.10472273507893304,8665.0,-1.0755574282883016,-0.9655025951356908,-0.0870943565951247,COMPLETE
25,-1.2945022633142627,2026-04-06 16:05:43.656434,2026-04-06 16:05:43.786927,0 days 00:00:00.130493,25,60,-0.7107194708605077,-0.06457974332158711,7636.0,-1.2945022633142627,-1.0601942300148213,-0.04589296360583386,COMPLETE
26,-2.0407166215618417,2026-04-06 16:05:43.787414,2026-04-06 16:05:43.909496,0 days 00:00:00.122082,15,40,-0.9355391087671943,-0.16540419992604327,7919.0,-2.0407166215618417,-1.7316751516896156,-0.15472587625342168,COMPLETE
